Rank Type,Rank,MA Type,MA Period,Investment,Wealth,Absolute Return,Annualized Return,Sharpe
Top,1,Normal,3,144000.0,959763.139953,5.66502180523,0.205149817467,0.59228115447
Top,1,Normal,6,144000.0,971170.932566,5.74424258727,0.206060460955,0.59228115447
Top,1,Normal,9,144000.0,977357.255456,5.78720316289,0.206638255902,0.59228115447
Top,1,Normal,12,144000.0,979862.476982,5.8046005346,0.206890663318,0.59228115447
Top,1,Inverted,3,144000.0,323006.899731,1.24310347035,0.147441434115,0.59228115447
Top,1,Inverted,6,144000.0,351850.57535,1.44340677326,0.173703009635,0.59228115447
Top,1,Inverted,9,144000.0,365339.873311,1.53708245355,0.192391982675,0.59228115447
Top,1,Inverted,12,144000.0,370098.651391,1.57012952355,0.202456043661,0.59228115447
Top,2,Normal,3,144000.0,1154488.34295,7.01728015938,0.229771146178,0.514526068181
Top,2,Normal,6,144000.0,1220777.38077,7.47762069977,0.234553515352,0.514526068181
Top,2,Normal,9,144000.0,1253447.41787,7.70449595742,0.236616982706,0.514526068181
Top,2,Normal,12,144000.0,1273946.94989,7.84685381871,0.238129088469,0.514526068181
Top,2,Inverted,3,144000.0,376033.473659,1.61134356707,0.171566269547,0.514526068181
Top,2,Inverted,6,144000.0,359023.460593,1.49321847634,0.170816354826,0.514526068181
Top,2,Inverted,9,144000.0,365248.173883,1.53644565196,0.192400997877,0.514526068181
Top,2,Inverted,12,144000.0,357934.436378,1.48565580818,0.189236279577,0.514526068181
Top,3,Normal,3,144000.0,886441.649745,5.1558447899,0.197916204482,0.517506039425
Top,3,Normal,6,144000.0,890373.657205,5.18315039726,0.198817055672,0.517506039425
Top,3,Normal,9,144000.0,934139.751315,5.48708160635,0.20267887488,0.517506039425
Top,3,Normal,12,144000.0,947434.418885,5.5794056867,0.204075475782,0.517506039425
Top,3,Inverted,3,144000.0,345539.832709,1.39958217159,0.156914620847,0.517506039425
Top,3,Inverted,6,144000.0,355159.454152,1.46638509828,0.166532864422,0.517506039425
Top,3,Inverted,9,144000.0,348932.318838,1.42314110304,0.179006560147,0.517506039425
Top,3,Inverted,12,144000.0,365519.939215,1.53833291121,0.190638801455,0.517506039425
Bottom,1,Normal,3,144000.0,549483.364033,2.81585669468,0.152970861085,0.415923509535
Bottom,1,Normal,6,144000.0,567714.480503,2.94246167016,0.156033961102,0.415923509535
Bottom,1,Normal,9,144000.0,507080.066976,2.521389354,0.148041234538,0.415923509535
Bottom,1,Normal,12,144000.0,470600.784231,2.26806100161,0.14108379744,0.415923509535
Bottom,1,Inverted,3,144000.0,438307.427206,2.04380157782,0.166626375169,0.415923509535
Bottom,1,Inverted,6,144000.0,431617.253776,1.99734204011,0.166310369596,0.415923509535
Bottom,1,Inverted,9,144000.0,581620.18305,3.03902904896,0.173420719802,0.415923509535
Bottom,1,Inverted,12,144000.0,613507.295809,3.260467332,0.174481388181,0.415923509535
Bottom,2,Normal,3,144000.0,689676.428119,3.78941963972,0.175849113055,0.379205459455
Bottom,2,Normal,6,144000.0,652219.827784,3.52930435961,0.17288229242,0.379205459455
Bottom,2,Normal,9,144000.0,655027.601676,3.54880278941,0.170765234903,0.379205459455
Bottom,2,Normal,12,144000.0,645160.824364,3.48028350253,0.169876396284,0.379205459455
Bottom,2,Inverted,3,144000.0,424526.287091,1.94809921591,0.164410312474,0.379205459455
Bottom,2,Inverted,6,144000.0,470377.758185,2.26651220961,0.166741408035,0.379205459455
Bottom,2,Inverted,9,144000.0,529638.663996,2.67804627775,0.185754713416,0.379205459455
Bottom,2,Inverted,12,144000.0,552564.663406,2.83725460699,0.195037506893,0.379205459455
Bottom,3,Normal,3,144000.0,933367.757613,5.48172053898,0.205493707396,0.444183522128
Bottom,3,Normal,6,144000.0,877696.530272,5.09511479356,0.200325860456,0.444183522128
Bottom,3,Normal,9,144000.0,876799.027767,5.08888213727,0.199896573648,0.444183522128
Bottom,3,Normal,12,144000.0,871367.84278,5.05116557486,0.199656559899,0.444183522128
Bottom,3,Inverted,3,144000.0,386805.639833,1.68615027662,0.16035364233,0.444183522128
Bottom,3,Inverted,6,144000.0,395670.208178,1.74770977902,0.166231243685,0.444183522128
Bottom,3,Inverted,9,144000.0,415223.613646,1.88349731699,0.191732937843,0.444183522128
Bottom,3,Inverted,12,144000.0,414246.923778,1.87671474846,0.193978191167,0.444183522128
